id,conference name,conference abbreviation,2013,2014,2017,2018,2020,2021,2023
837,International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014),I4CS,C,C,C,C,C,C,C
1090,International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,B,B,B,B,B,B,B
1091,"International Conference on Intelligent Agents, Web Technologies, and Internet Commerce",IAWTIC,B,B,B,B,,,
1093,International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,C,C,C,C,C,C,C
1094,International Conference on Intelligent Pervasive Computing,IPC,C,C,C,C,,,
1216,"International Conference on Intelligent Software Methodologies, Tools, and Techniques (was International Conference on Software Methods and Tools)",SoMeT,B,B,B,B,B,C,C
1096,International Conference on Intelligent Systems,ICIL,C,C,C,C,,,
1097,International Conference on Intelligent Systems and Knowledge Engineering,ISKE,B,B,B,B,National: China,National: China,National: China
1098,International Conference on Intelligent Systems Designs and Applications,ISDA,C,C,C,C,C,C,C
1099,International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,B,B,B,B,B,B,C
1100,International Conference on Intelligent Tutoring Systems,ITS,A,A,A,A,A,B,B
1101,International Conference on Intelligent User Interfaces,IUI,A,A,A,A,A,A,A
1102,"International Conference on Interaction Sciences: Information Technology, Culture and Human",ICIS,C,C,C,C,,,
2161,International Conference on Interactive Digital Storytelling (2008 merger of 'ICVS International Conference on Virtual Storytelling' and 'TIDSE Technology for Interactive Digital Storytelling'),ICIDS,C,C,C,C,C,C,C
1103,International Conference on International and Communication Technologies,ICICTE,C,C,C,C,,,
1104,International Conference on Internet and Web Applications and Services,ICIW,C,C,C,C,C,C,C
1105,International Conference on Internet Computing,IC,B,B,B,B,,,
1106,International Conference on Internet Computing in Science and Engineering,ICICSE,C,C,C,C,C,C,C
1107,International Conference on Internet Monitoring and Protection,ICIMP,C,C,C,C,C,C,C
2301,"International Conference on Internet of Things, Big Data and Security",IoTBDS,,,,,,C,C
1108,International Conference on Internet Technologies and Applications,ITA,B,B,B,B,National: USA,National: USA,National: USA
2083,International Conference on IT Based Higher Education and Training,ITHET,C,C,C,C,,,
1109,International Conference on Knowledge Discovery and Data Mining,WKDD,C,C,C,C,,,
1110,International Conference on Knowledge Engineering and Knowledge Management,EKAW,B,B,B,B,B,B,B
1111,International Conference on Knowledge Engineering and Ontology Development,KEOD,C,C,C,C,C,C,C
1112,"International Conference on Knowledge Science, Engineering and Management",KSEM,B,B,B,B,B,B,C
1113,International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,B,B,B,B,B,B,B
1114,International Conference on Knowledge-based Intelligent Electronic Systems,KIES,C,C,C,C,,,
1115,International Conference on Language and Automata Theory and Applications,LATA,C,C,C,C,C,C,C
2268,International Conference on Learning Analytics and Knowledge,LAK,,,,,,A,A
2273,International Conference on Learning Representations,ICLR,,,,,,A*,A*
1117,International Conference on Legal Knowledge and Information Systems,JURIX,C,C,C,C,C,C,C
1119,International Conference on Logic Programming,ICLP,A,A,A,A,A,A,A
1120,International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,A,A,A,A,A,B,B
1121,International Conference on Machine Learning,ICML,A*,A*,A*,A*,A*,A*,A*
1122,International Conference on Machine Learning and Applications,ICMLA,C,C,C,C,C,C,C
1123,International Conference on Machine Learning and Cybernetics,ICMLC,C,C,C,C,National: China,National: China,National: China
1124,International Conference on Machine Vision,ICMV,C,C,C,C,C,C,C
1692,International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ),MPLR,C,C,C,C,C,C,C
1125,International Conference on Management of Data,COMAD,B,B,B,B,National: India,National: India,National: India
2205,International Conference on Management of Digital EcoSystems,MEDES,,,,Unranked,Unranked,Unranked,C
1127,International Conference on Massively Parallel Computing Systems,MPCS,B,B,B,B,,,
2293,International Conference on Mathematical Foundations of Programming Semantics,MFPS,,,,,,B,B
1129,International Conference on Medical Information  Visualisation,MediVis,C,C,C,C,,,
2277,International Conference on Methods and Models in Automation and Robotics,MMAR,,,,,,National:Poland,National:Poland
1131,International Conference on Mobile and Ubiquitous Systems: Networks and Services,Mobiquitous,A,A,A,A,A,B,C
1132,International Conference on Mobile Business,ICMB,C,C,C,C,,,
1133,International Conference on Mobile Data Management,MDM,C,C,C,C,C,B,B
2206,International Conference on Mobile Systems and Pervasive Computing,MobiSPC,,,,Unranked,Unranked,Unranked,Unranked
1134,"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",UBICOMM,C,C,C,C,C,C,C
2239,International Conference on Model and Data Engineering,MEDI,,,,,,C,C
1244,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,B,B,B,A,A,A,A
1136,International Conference on Model Transformation,ICMT,B,B,B,B,B,,
2297,International Conference on Model-Driven Engineering and Software Development,MODELSWARD,,,,,,C,C
507,International Conference on Modelling and Simulation,ECMS,B,B,B,B,B,B,Multiconference
1140,International Conference on Modelling Decisions for Artificial Intelligence,MDAI,B,B,B,B,B,B,B
2166,International Conference on Multimedia,ICMR,,B,,,,,
1143,International Conference on Multimedia Modelling,MMM,C,C,C,C,C,B,B
44,International Conference on Multimedia Retrieval (previously MIR),ICMR,B,B,B,B,B,B,B
1144,International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,B,B,B,B,B,B,B
1145,International Conference on Natural Computation,ICNC,C,C,C,C,National: China,National: China,National: China
813,International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,B,B,B,B,B,B,B
1146,International Conference on network and System Security,NSS,B,B,B,B,B,B,B
1147,International Conference on Network Protocols,ICNP,A,A,A,A,A,A,B
2245,International Conference on Network Softwarization,NetSoft,,,,,,B,B
1148,International Conference on Networked Computing,INC,C,C,C,C,,,
1152,International Conference on Neural Information Processing,ICONIP,A,A,A,A,A,B,B
1153,"International Conference on Neural, Parallel and Scientific Computations",NPSC,C,C,C,C,,,
1155,International Conference on New Trends of Information and Service Science,NISS,C,C,C,C,,,
1156,International Conference on Next Generation Web Services Practices,NWESP,C,C,C,C,,,
2109,International Conference on Object Oriented Information Systems,OOIS,C,C,C,C,,,
374,International Conference on Operations Research,GOR,C,C,C,C,,,
2220,International Conference on Operations Research and Enterprise Systems,ICORES,,,,,,C,C
1160,International Conference on Optimization: Techniques And Applications,ICOTA,C,C,C,C,C,C,C
1161,International Conference on Pairing-based Cryptography,Pairing,C,C,C,C,C,C,C
1162,"International Conference on Parallel and Distributed Computing, Applications and Technologies",PDCAT,B,B,B,B,B,C,C
1163,International Conference on Parallel and Distributed Processing Techniques and Applications,PDPTA,B,B,B,B,National: USA,National: USA,National: USA
1164,International Conference on Parallel and Distributed Systems,ICPADS,B,B,B,B,B,B,B
1165,International Conference on Parallel Architecture and Compilation Techniques,PACT,A,A,A,A,A,B,B
1167,International Conference on Parallel Processing,ICPP,A,A,A,A,A,A,B
1168,International Conference on Parallel Processing and Applied Mathematics,PPAM,C,C,C,C,National: Poland,National: Poland,National: Poland
1169,International Conference on Pattern Recognition,ICPR,B,B,B,B,B,B,B
2230,International Conference on Pattern Recognition Applications and Methods,ICPRAM,,,,,,C,C
1170,International Conference on Persuasive Technology,Persuasive,B,B,B,B,,,
1171,International Conference on Pervasive Computing (Joined with UbiComp from 2013),PERVASIVE,A*,A*,,,,,
1172,International Conference on Pervasive Computing and Applications,ICPCA,C,C,C,C,,,
1173,International Conference on Pervasive Services,ICPS,C,C,C,C,,,
2224,International Conference on Practical Applications of Computational Biology & Bioinformatics,PACBB,,,,,,National(Spain),National(Spain)
1279,International Conference on Practice and Theory in Public Key Cryptography,PKC,B,B,B,B,B,B,B
1175,International Conference on Principles and Practice of Constraint Programming,CP,A,A,A,A,A,A,A
1176,International Conference on Principles and Practice of Declarative Programming,PPDP,B,B,B,B,B,C,C
1177,International Conference on Principles of Distributed Systems,OPODIS,B,B,B,B,B,B,B
1663,International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents),PRIMA,B,B,B,B,B,B,B
2207,International Conference on Principles of Security and Trust,POST,,,,Unranked,Unranked,Unranked,
358,"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)",AofA,B,B,B,B,B,B,C
1179,"International Conference on Probability, Statistics and Operational Research",PSOR,C,C,C,C,,,
2307,International Conference on Process Mining,ICPM,,,,,,,B
1182,International Conference on Provable Security,ProvSec,B,B,B,B,B,B,C
1183,International Conference on Qualitative Research in IT & IT in Qualitative Research,QualIT,B,B,B,B,,,
2312,International Conference on Quality of Multimedia Experience,QoMEX,,,,,,,B
2249,International Conference on Real-Time and Network Systems,RTNS,,,,,,National: France,National: France
1187,International Conference on Recent Advances in Information Technology and Applications,RAITA,C,C,C,C,,,
1188,International Conference on Recent Advances in Natural Language Processing,RANLP,C,C,C,C,National: bulgaria,National: bulgaria,National: bulgaria
1189,International Conference on Relational and AlgebraicMethods in Computer Science (was International Conference on Relational Methods in Computer Science RelMiCS),RAMiCS,C,C,C,C,C,C,C
1190,"International Conference on Relations, Orders and Graphs: Interaction with Computer Science",ROGICS,C,C,C,C,,,
1191,International Conference on Reliable Software Technologies,Ada-Europe,A,A,B,B,B,B,Journal Published
1192,International Conference on Research Challenges in Information Science,RCIS,B,B,B,B,B,B,B
2309,International Conference on Reversible Computation,RC,,,,,,,C
2123,International Conference on Rewriting Techniques and Applications (now merged with FSCD Formal Structures for Computation and Deduction),RTA,A,A,A,A,,,
1193,International Conference on Risks and Security of Internet and Systems,CRiSIS,C,C,C,C,C,C,C
1194,"International Conference on Robotics, Vision, Signal Processing and Power Applications (was ROVPIA)",RoVISP,C,C,C,C,National: Malaysia,National: Malaysia,National: Malaysia
1932,International Conference on Runtime Verification (was workshop pre 2010),RV,C,C,C,C,C,B,B
1197,International Conference on Scientific and Statistical Data Base Management,SSDBM,A,A,A,A,A,B,B
1198,International Conference on Security and Privacy for Communication Networks,SecureComm,A,A,B,B,B,C,C
1199,International Conference on Security in Pervasive Computing,ICSPC,A,A,A,A,,,
1200,International Conference on Security of Information and Networks,SIN,C,C,C,C,C,C,C
1201,International Conference on Semantic and Digital Media Technologies,SAMT,C,C,C,C,,,
1202,International Conference on Semantics Knowledge and Grid,SKG,C,C,C,C,National: China,National: China,
1203,International Conference on Sequences and their Applications,SETA,B,B,B,B,B,B,C
1204,International Conference on Service Oriented Computing,ICSOC,A,A,A,A,A,A,A
2240,International Conference on Similarity Search and Applications,SISAP,,,,,,B,B
2298,"International Conference on Simulation and Modeling Methodologies, Technologies and Applications",SIMULTECH,,,,,,C,C
2178,International Conference on Smart homes and health Telematics,ICOST,,,,C,C,C,C
1206,International Conference on Software and Data Technologies,ICSoft,B,B,B,B,B,B,C
1217,International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,A,A,A,A,A,B,B
791,International Conference on Software Architecture (was previously WICSA),ICSA,A,A,A,NEW,NEW,A,A
1207,International Conference on Software Composition,SC,B,B,B,B,,,
1208,International Conference on Software Development,SWDC,B,B,B,B,,,
1209,International Conference on Software Engineering,ICSE,A*,A*,A*,A*,A*,A*,A*
1210,International Conference on Software Engineering Advances,ICSEA,C,C,C,C,C,C,C
1211,International Conference on Software Engineering and Formal Methods,SEFM,B,B,B,B,B,B,B
1212,International Conference on Software Engineering and Knowledge Engineering,SEKE,B,B,B,B,B,B,C
1213,International Conference on Software Engineering Theory and Practice,SETP,C,C,C,C,,,
1214,"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD,C,C,C,C,C,C,C
2130,International Conference on Software Engineering: Education and Practice,SEEP,B,B,B,B,,,
1215,International Conference on Software Language Engineering,SLE,B,B,B,B,B,B,B
1219,International Conference on Software Quality Management,SQM,C,C,C,C,C,C,C
1220,International Conference on Software Reuse,ICSR,A,A,A,B,B,B,B
1221,"International Conference on Software Testing, Verification and Validation",ICST,C,C,C,A,A,A,A
1223,International Conference on Spoken Language Processing,ICSLP,C,C,,,,,
2209,International Conference on Sustainable Energy Information Technology,SEIT,,,,Unranked,Unranked,Unranked,Unranked
1229,International Conference on Systems Engineering,ICSEng,C,C,C,C,C,C,C
1230,"International Conference on Systems Research, Informatics and Cybernetics",ICSRIC,C,C,C,C,,,
1231,International Conference on Systems Thinking in Management,STM,C,C,C,C,,,
2288,International Conference on Technical Debt,TechDebt,,,,,,NEW,B
1232,International Conference on Technology and Business Management,ICTBM,C,C,C,C,,,
2141,International Conference on Technology Education,TE,C,C,C,C,,,
1235,International Conference on Temporal Logic,ICTL,A,A,A,A,,,
2285,International Conference on Testing Software and Systems,ICTSS,,,,,,C,C
1236,International Conference on Tests and Proofs,TAP,B,B,B,B,B,C,C
1237,International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets,B,B,B,B,B,B,B
1238,International Conference on the Foundations of Digital Games,FDG,C,C,C,C,C,C,C
1239,International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*,A*,A*,A*,A*,A*,A*
2180,International Conference on the Quality of Information and Communications Technology,QUATIC,,,,C,C,C,C
1240,International Conference on the Simulation and Synthesis of Living Systems,ALIFE,A,A,A,A,A,C,C
1241,International Conference on the Statistical Analysis of Textual Data,JADT,C,C,C,C,C,C,C
1242,International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*,A*,A*,A*,A*,A*,A*
1243,International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A,A,A,A,A,A,A
2202,International Conference on the Theory of Information Retrieval,ICTIR,,,,Unranked,Unranked,Unranked,Unranked
1246,International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,A,A,A,A,A,B,B
1247,International Conference on Theoretical and Mathematical Foundations of Computer Science,TMFCS,C,C,C,C,,,
1248,International Conference on Theoretical and Methodological Issues in machine Translation,TMI,B,B,B,B,,,
1249,International Conference on Theory and Applications of Computational Science,TACS,C,C,C,C,,,
1250,International Conference on Theory and Applications of Satisfiability Testing,SAT,A,A,A,A,A,A,A
2013,International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,A,A,A,B,B,B,B
1251,International Conference on Tools with Artificial Intelligence,ICTAI,B,B,B,B,B,B,B
1252,International Conference on Trust Management,iTrust,C,C,C,C,,,
1253,"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,B,B,B,B,B,B,B
790,"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,A,A,A,A,A,B,B
1254,International Conference on Ubiquitous Intelligence and Computing,UIC,B,B,B,B,B,B,C
1255,International Conference on Unconventional Computation and Natural Computation (was International Conference on Unconventional Computation),UC,C,C,C,C,C,C,C
1259,"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,B,B,B,B,B,B,B
2299,International Conference on Vehicle Technology and Intelligent Transport Systems,VEHITS,,,,,,C,C
1261,International Conference on Very Large Databases,VLDB,A*,A*,A*,A*,A*,A*,A*
1262,International Conference on Virtual Execution Environments,VEE,A,A,A,A,A,B,B
2168,International Conference on Virtual Rehabilitation,ICVR,,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1264,International Conference on Virtual Systems and MultiMedia,VSMM,B,B,B,B,B,,
1265,International Conference on Vision Theory and Applications (Joined with GRAPP from 2008),VISAPP,C,C,,,,,
1266,International Conference on Visual Information Systems,VISUAL,C,C,C,C,,,
1267,International Conference on VLSI Design,VLSID,C,C,C,C,National: India,National: India,National: India
2169,International Conference on Web and Social Media,ICWSM,,Unranked,Unranked,Unranked,Unranked,Unranked,A
1269,International Conference on Web Engineering,ICWE,C,B,B,B,B,B,B
1270,International Conference on Web Information Systems and Technologies,WEBIST,C,C,C,C,C,C,C
1271,International Conference on Web Information Systems Engineering,WISE,A,A,A,A,A,B,B
1272,International Conference on Web-Age Information Management,WAIM,C,C,C,,,,
1273,International Conference on Web-based Modelling and Simulation,WebSim,C,C,C,C,,,
2257,International Conference on Wireless Networks and Mobile Communications,WINCOM,,,,,,National:Morocco,National:Morocco
1277,International Conference on Worldwide Computing and Its Applications,WWCA,C,C,C,C,,,
1278,International Conference Software and Systems Engineering and their Applications,ICSSEA,C,C,C,C,,,
2211,"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,,,,Unranked,Unranked,Unranked,Unranked
1280,"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",WSCG,B,B,B,B,National: Czecholslovakia,National: Czecholslovakia,National: Czecholslovakia
1284,International Congress of Chinese Mathematicians,ICCM,C,C,C,C,,,
1286,International Congress of Mathematicians,ICM,C,C,C,C,,,
1288,International Congress on Computational and Applied Mathematics,ICCAM,C,C,C,C,C,C,C
1291,International Congress on Modelling and Simulation,MODSIM,C,C,C,C,Australasian C,Australasian C,Australasian C
2223,International Cross-Domain Conference for Machine Learning and Knowledge Extraction,CD-MAKE,,,,,,C,C
1296,International CSI Computer Conference,CSICC,C,C,C,C,National: Iran,National: Iran,National: Iran
2057,International Database Conference (HK CS),IDC(W),L,L,L,,,,
1297,International Database Engineering and Applications Symposium,IDEAS,B,B,B,B,B,B,C
2022,International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,A,A,A,A,A,B,B
2066,International Federation of Automatic Control World Congress,IFAC,C,C,C,C,,,
1303,International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),FLINS,B,B,B,B,B,C,C
1300,International Forum on Applied Wearable Computing,IFAWC,C,C,C,C,,,
1301,International French Speaking Conference on Logic and Constraint Programming,JFPLC,C,C,C,C,,,
1302,International Frontiers of Algorithmics Workshop,FAW,B,B,B,B,National: China,National: China,National: China
1308,International ICSC Congress on Intelligent Systems and Applications,IICISA,C,C,C,C,,,
1309,International IEEE Security in Storage Workshop,SISW,C,C,C,C,,,
1310,International IEEE Workshop on Software Evolvability,SE,C,C,C,C,,,
1312,International Joint Conference CAAP/FASE on Theory and Practice of Software Development,TAPSOFT,C,C,C,C,,,
1313,International Joint Conference on Artificial Intelligence,IJCAI,A*,A*,A*,A*,A*,A*,A*
1314,International Joint Conference on Automated Reasoning,IJCAR,A*,A*,A*,A*,A*,A,A
922,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,A*,A*,A*,A*,A*,A*,A*
2305,International Joint Conference on Biometrics,IJCB,,,,,,,B
2221,International Joint Conference on Computational Intelligence,IJCCI,,,,,,C,C
2068,International Joint Conference on Computational Linguistics,IJCNLP2,B,B,B,B,,,
1315,International Joint Conference on e-Business and Telecommunications,ICETE,C,C,C,C,,,
1316,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,C,C,C,C,C,C,C
1317,International Joint Conference on Natural Language Processing,IJCNLP,B,B,B,B,B,B,B
1318,International Joint Conference on Qualitative and Quantitative Practical Reasoning,ESQARU,A,A,A,A,,,
1195,International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC),C,C,C,C,C,C,C
2216,International Joint Conference on Rules and Reasoning,RuleML+RR,,,,,,B,B
1320,International KES Conference on Agents and Multiagent systems - Technologies and Applications,KES AMSTA,C,C,C,C,C,C,C
2069,International Logic Programming Symposium,ILPS,A,A,A,A,,,
1321,International Machine Vision and Image Processing Conference,IMVIP,C,C,C,C,National: ireland,National: ireland,National: ireland
1260,"International Meeting on High Performance Computing for Computational Science (previously International Meeting Vector and Parallel Processing, changed in 2002)",VECPAR,B,B,B,B,,,
1327,International Natural Language Generation Conference,INLG,B,B,B,B,B,B,B
1329,International Network Optimization Conference,INOC,C,C,C,C,C,C,C
2131,International NZ Conference on Computer-Human Interaction,SIGCHI-NZ,"Australasian (missed 2013, changed 2019)",Australasian,Australasian,,,,
1330,International Parallel Computing Workshop,PCW,C,C,C,C,,,
1331,International Picture Coding Symposium,PCS,C,C,C,C,C,C,C
1335,International Python Conference,IPythC,C,C,C,C,,,
2253,International Science Conference on Computer Networks,CN,,,,,,National:Poland,
1338,International Semantic Web Conference,ISWC,A,A,A,A,A,A,A
2236,International Symposium 'Problems of Redundancy in Information and Control Systems',Redundancy,,,,,,National Russia,National Russia
1341,International Symposium Component-Based Software Engineering,CBSE,A,B,B,,,,
1343,International Symposium on 3D Data Processing Visualization and Transmission,3DPVT,C,C,C,C,,,
1345,International Symposium on Advanced DB Technologies and Integration,ADTI,B,B,B,B,,,
1348,International Symposium on Algorithmic Game Theory,SAGT,B,B,B,B,B,B,B
1349,International Symposium on Algorithms and Computation,ISAAC,A,A,A,A,A,A,A
1447,International Symposium on Algorithms and Experiments for  Wireless Networks,Algosensors,,,,C,C,C,C
1350,International Symposium on Applications and the Internet,SAINT,C,C,C,C,,,
1351,"International Symposium on Applied Algebra, Algebraic Algorithms and Error-Correcting Codes",AAAAECC,B,B,B,B,,,
1352,International Symposium on Applied Computational Intelligence and Informatics,SACI,C,C,C,C,National: Romania,National: Romania,National: Romania
1353,International Symposium on Applied Machine Intelligence and Informatics,SAMI,C,C,C,C,National: slovakia,National: slovakia,National: slovakia
1354,International Symposium on Artificial Intelligence and Mathematics,ISAIM,B,B,B,B,National: USA,National: USA,National: USA
1355,International Symposium on Artificial Life and Robotics,AROB,C,C,C,C,C,C,C
1356,"International Symposium on Audio, Video, Image Processing and Intelligent Applications",ISAVIIA,C,C,C,C,,,
1357,International Symposium on Automated Technology for Verification and Analysis,ATVA,A,A,A,A,A,B,B
1358,International Symposium on Automation and Robotics in Construction,ISARC,C,C,C,C,C,C,C
1359,International Symposium on Autonomous Decentralized Systems,ISADS,C,C,C,C,C,C,C
1361,International Symposium on Circuits and Systems,CIRSYS,C,C,C,C,,,
1362,International Symposium on Code Generation and Optimization,CGO,A,A,A,A,A,A,A
1363,International Symposium on Collaborative Technologies and Systems,CTS,C,C,C,C,,,
1364,International Symposium on Combinatorial Optimisation,ISCO,C,C,C,C,C,C,C
60,International Symposium on Computational Geometry,SoCG,A,A,A,A,A,A,A
1368,International Symposium on Computational Life Science,CompLife,B,B,B,B,,,
1369,International Symposium on Computer and Information Sciences,ISCIS,C,C,C,C,C,,
1370,International Symposium on Computer Architecture and High Performance Computing,SBAC-PAD,B,B,B,B,B,B,C
1371,International Symposium on Computer Design,COMPDES,C,C,C,C,,,
1372,International Symposium on Cooperative Database Systems for Advanced Applications,CODAS,C,C,C,C,,,
1373,"International Symposium on Data, privacy and E-Commerce",ISDPE,C,C,C,C,,,
1374,International Symposium on Distributed Computing (was WDAG),DISC,A,A,A,A,A,A,A
696,International Symposium on Distributed Simulation and Real Time Applications,DS-RT,B,B,B,B,B,C,C
1375,International Symposium on Empirical Software Engineering,ISESE,B,B,B,B,,,
1376,International Symposium on Empirical Software Engineering and Measurement,ESEM,A,A,A,A,A,A,A
1378,International Symposium on Experimental Algorithms,SEA,B,B,B,B,B,B,B
540,International Symposium on Formal Methods (was Formal Methods Europe FME),FM,A,A,A,A,A,A,A
1380,International Symposium on Foundations of Intelligent Systems,ISMIS,C,C,C,C,C,C,C
1382,International Symposium on Functional and Logic Programming,FLOPS,A,A,A,A,National: Japan,National: Japan,National: Japan
1383,International Symposium on Fundamentals of Computation Theory,FCT,A,A,A,A,A,B,B
1384,International Symposium on Future Software Technology,ISFST,C,C,C,C,,,
1385,International Symposium on Grids and Clouds (was International Symposium on Grid Computing),ISGC,C,C,C,C,C,C,C
1386,International Symposium on High Performance Computer Architecture,HPCA,A*,A*,A*,A*,A*,A*,A*
1387,International Symposium on Information and Communication Technologies,ISICT,C,C,C,C,C,,
1388,International Symposium on Information Assurance and Security,IAS,C,C,C,C,C,C,C
1389,International Symposium on Information Processing,ISIP,C,C,C,C,,,
1390,International Symposium on Information Theory and Its Applications,ISITA,B,B,B,B,B,B,C
1391,International Symposium on Innovations in Intelligent Systems and Applications,INISTA,C,C,C,C,C,C,C
1392,International Symposium on Intelligent and Interactive Multimedia: Systems and Services,KES IIMSS,C,C,C,C,C,,
1393,"International Symposium on Intelligent Multimedia, Video and Speech Processing",ISIMP,C,C,,,,,
1394,International Symposium on Intelligent Systems and Informatics,SISY,C,C,C,C,National: serbia,National: serbia,National: serbia
1395,International Symposium on Latin American Theoretical Informatics,LATIN,B,B,B,B,B,B,B
1396,"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",ISoLA,C,C,C,C,C,C,C
1397,International Symposium on Logic-based Program Synthesis and Transformation,LOPSTR,B,B,B,B,B,B,C
1398,International Symposium on Mathematical Foundations of Computer Science,MFCS,A,A,A,A,A,A,A
1399,International Symposium on Mathematical Morphology,ISMM,B,B,B,B,,,
1400,International Symposium on Memory Management,ISMM,A,A,A,A,A,C,C
2098,International Symposium on Microarchitecture,MICRO,A,A,A,A,,,TBR
1401,"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks",WiOpt,B,B,B,B,B,B,B
2204,"International Symposium on Networks, Computers and Communications",ISNCC,,,,Unranked,Unranked,C,C
1402,International Symposium on Neural Networks,ISNN,C,C,C,C,C,C,C
1653,"International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",Onward,C,C,C,C,C,C,C
1403,International Symposium on Next Generation Data Base Systems and Applications,NGDB,C,C,C,C,,,
1404,International Symposium on Object Technologies for Advanced Software,ISOTAS,C,C,C,C,,,
1432,International Symposium on Open Collaboration (was International Symposiums on Wikis),OPENSYM,B,B,B,B,B,C,C
1405,International Symposium on Parallel and Distributed Computing,ISPDC,C,C,C,C,C,C,C
1406,"International Symposium on Parallel Architectures, Algorithms and Networks",I-SPAN,B,B,B,B,B,,
1510,International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),IPEC,B,B,B,B,B,B,B
2272,INTERNATIONAL SYMPOSIUM ON PERVASIVE DISPLAYS,PerDis,,,,,,B,
2117,International Symposium on Physical Design,PHYSDES,C,C,C,C,,,
1409,International Symposium on Robotics,ISR,A,A,A,A,,,
1410,International Symposium on Robotics Research,ISRR,A,A,A,A,A,A,C
2283,International Symposium on Search Based Software Engineering,SSBSE,,,,,,B,B
2281,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,,,,,,A,A
2284,"International Symposium on Software Engineering: Theories, Tools, and Applications",SETTA,,,,,,National:China,National:China
1411,International Symposium on Software Reliability Engineering,ISSRE,A,A,A,A,A,A,A
1412,International Symposium on Software Testing and Analysis,ISSTA,A,A,A,A,A,A,A
1416,International Symposium on Spatial and Temporal Databases,SSTD,A,A,A,A,A,B,B
1413,International Symposium on Spatial Data Handling,SDH,C,C,C,C,C,C,C
1414,International Symposium on Spatial Data Infrastructures,ISSDI,C,C,C,C,,,
1415,International Symposium on Spatial Data Quality,ISSDQ,C,C,C,C,C,C,C
1418,International Symposium on String Processing and Information Retrieval,SPIRE,B,B,B,B,B,B,C
1420,International Symposium on Symbolic and Algebraic Computation,ISSAC,A*,A*,A*,A*,A*,A,A
1421,International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,SYNASC,C,C,C,C,National: romania,National: romania,National: romania
1423,International Symposium on Technology and Society,ISTAS,C,C,C,C,C,C,C
1424,International Symposium on Temporal Representation and Reasoning,TIME,A,B,B,B,B,B,C
1425,International Symposium on the Mathematical Theory of Networks and Systems,MTNS,C,C,C,C,C,C,C
1426,International Symposium on Theoretical Aspects of Computer Science,STACS,B,B,B,A,A,A,A
1427,International Symposium on Theoretical Aspects of Software Engineering,TASE,C,C,C,C,National: China,National: China,National: China
1539,International Symposium on Ubiquitous Virtual Reality,ISUVR,C,C,C,C,National: S. Korea,National: S. Korea,National: S. Korea
1429,International Symposium on Visual Computing,ISVC,C,C,C,C,National: USA,National: USA,National: USA
1430,International Symposium on Voronoi diagrams in Science and Engineering,ISVD,C,C,C,C,,,
